epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9363,1.5508,4.66387,1.37744,0.42572,0.11216,0.10403,0.07295,1.48301,3.79858,1.34445,5.81638e-05,5.81638e-05,5.81638e-05
2,174.516,1.49277,3.21006,1.34411,0.49248,0.31968,0.3153,0.20212,1.4624,2.59842,1.39828,0.000111884,0.000111884,0.000111884
3,259.1,1.41834,2.22983,1.30595,0.5988,0.37312,0.40176,0.26578,1.41402,2.33698,1.36985,0.000160984,0.000160984,0.000160984
4,343.053,1.3496,1.82546,1.2646,0.61615,0.46282,0.49221,0.33376,1.3735,2.04405,1.36059,0.00015421,0.00015421,0.00015421
5,426.689,1.30821,1.62765,1.23526,0.63686,0.48291,0.52848,0.3533,1.37357,1.96352,1.35046,0.00014728,0.00014728,0.00014728
6,510.116,1.28217,1.48714,1.22016,0.63512,0.50226,0.54076,0.35663,1.37615,1.90463,1.313,0.00014035,0.00014035,0.00014035
7,593.628,1.25716,1.40381,1.20547,0.65743,0.5383,0.55919,0.39006,1.31478,1.89414,1.30304,0.00013342,0.00013342,0.00013342
8,677.95,1.22801,1.33168,1.19114,0.65547,0.53708,0.57533,0.39997,1.32428,1.81143,1.30474,0.00012649,0.00012649,0.00012649
9,761.885,1.21681,1.27509,1.18267,0.74022,0.54487,0.58407,0.41134,1.29192,1.76036,1.27957,0.00011956,0.00011956,0.00011956
10,845.231,1.20142,1.25085,1.17725,0.70339,0.54101,0.58844,0.41043,1.30337,1.80176,1.27684,0.00011263,0.00011263,0.00011263
11,929.098,1.18145,1.19243,1.16494,0.68382,0.55918,0.60081,0.42753,1.28353,1.73236,1.27299,0.0001057,0.0001057,0.0001057
12,1014.48,1.17147,1.16044,1.16041,0.68399,0.56469,0.60638,0.43099,1.27336,1.66197,1.26783,9.877e-05,9.877e-05,9.877e-05
13,1098.82,1.1572,1.11812,1.15193,0.6898,0.57656,0.61498,0.44306,1.2517,1.66801,1.2666,9.184e-05,9.184e-05,9.184e-05
14,1184.19,1.14737,1.08933,1.14147,0.73538,0.57618,0.61464,0.4441,1.25402,1.63546,1.26269,8.491e-05,8.491e-05,8.491e-05
15,1268.54,1.13718,1.0826,1.14259,0.70907,0.57893,0.61919,0.4499,1.25899,1.67806,1.27109,7.798e-05,7.798e-05,7.798e-05
16,1353.16,1.09454,1.01063,1.14671,0.70985,0.5907,0.62338,0.45228,1.24929,1.65936,1.26674,7.105e-05,7.105e-05,7.105e-05
17,1437.37,1.07267,0.95874,1.13753,0.7347,0.58741,0.62629,0.45849,1.24424,1.652,1.25629,6.412e-05,6.412e-05,6.412e-05
18,1519.82,1.0588,0.92763,1.12279,0.70191,0.60091,0.62614,0.45992,1.22215,1.61516,1.24745,5.719e-05,5.719e-05,5.719e-05
19,1602.11,1.05001,0.90842,1.11944,0.75042,0.60591,0.63825,0.46911,1.22989,1.60762,1.23957,5.026e-05,5.026e-05,5.026e-05
20,1684.18,1.03405,0.8818,1.11318,0.73882,0.612,0.64308,0.47294,1.23051,1.60073,1.24156,4.333e-05,4.333e-05,4.333e-05
21,1766.08,1.02497,0.87083,1.10419,0.73319,0.61934,0.64597,0.47753,1.22188,1.61477,1.23588,3.64e-05,3.64e-05,3.64e-05
22,1847.97,1.01694,0.85082,1.10216,0.73887,0.61619,0.64651,0.47621,1.22299,1.57661,1.23801,2.947e-05,2.947e-05,2.947e-05
23,1929.72,1.01123,0.84581,1.09932,0.72968,0.62257,0.64858,0.48062,1.21357,1.58543,1.23627,2.254e-05,2.254e-05,2.254e-05
24,2011.55,1.00798,0.84165,1.09763,0.74598,0.61821,0.64969,0.48211,1.21731,1.57199,1.23513,1.561e-05,1.561e-05,1.561e-05
25,2093.39,1.0015,0.83025,1.09149,0.73447,0.62211,0.64899,0.48207,1.21154,1.58243,1.23399,8.68e-06,8.68e-06,8.68e-06
