epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.259,1.50366,3.27204,1.45103,0.67952,0.39588,0.41465,0.27123,1.40087,2.47332,1.33854,5.82909e-05,5.82909e-05,5.82909e-05
2,492.33,1.31646,1.59407,1.30437,0.60378,0.46015,0.49309,0.32929,1.34267,2.05626,1.28258,0.000105078,0.000105078,0.000105078
3,735.726,1.25672,1.28375,1.27058,0.61618,0.513,0.53379,0.36049,1.3418,1.95182,1.30684,0.000140316,0.000140316,0.000140316
4,978.458,1.20549,1.09133,1.23858,0.70815,0.55424,0.58437,0.40412,1.28333,1.82158,1.25196,0.000123025,0.000123025,0.000123025
5,1220.88,1.16388,0.97693,1.21333,0.69163,0.57795,0.59509,0.41734,1.2764,1.75991,1.24116,0.0001057,0.0001057,0.0001057
6,1464.04,1.13338,0.89175,1.19904,0.70267,0.5972,0.61525,0.43375,1.26199,1.65071,1.24481,8.8375e-05,8.8375e-05,8.8375e-05
7,1707.16,1.09836,0.80832,1.17544,0.72337,0.61644,0.63985,0.45791,1.23149,1.61811,1.22327,7.105e-05,7.105e-05,7.105e-05
8,1949.82,1.06609,0.76088,1.15276,0.7306,0.60867,0.64488,0.46676,1.20457,1.58974,1.20551,5.3725e-05,5.3725e-05,5.3725e-05
9,2192.22,1.04346,0.72347,1.13799,0.74722,0.62013,0.6502,0.47239,1.19753,1.53988,1.20571,3.64e-05,3.64e-05,3.64e-05
10,2433.82,1.01998,0.6911,1.12886,0.75026,0.62133,0.65049,0.47586,1.18859,1.53618,1.2,1.9075e-05,1.9075e-05,1.9075e-05
