iter	RMSE
0	7.62585089
1	6.974667712
2	6.391460328
3	5.866274694
4	5.399474867
5	4.982300552
6	4.613886123
7	4.287135208
8	3.999215626
9	3.745248241
10	3.522749409
11	3.329886907
12	3.163212864
13	3.017359246
14	2.896150013
15	2.787736297
16	2.696275083
17	2.620245051
18	2.554701269
19	2.498886437
20	2.452518386
21	2.413367747
22	2.380457097
23	2.353323077
24	2.330595552
25	2.311465767
26	2.295742413
27	2.282793929
28	2.271672635
29	2.262539965
30	2.25508074
31	2.248588955
32	2.243229089
33	2.238782093
34	2.234985865
35	2.231832139
36	2.229123555
37	2.226866093
38	2.225024412
39	2.223242825
40	2.221804272
41	2.220449134
42	2.219361444
43	2.218433611
44	2.217703688
45	2.216800748
46	2.216145654
47	2.215517021
48	2.214860202
49	2.214367194
50	2.213791672
51	2.213372084
52	2.2129531
53	2.212684539
54	2.212225089
55	2.211934184
56	2.211651928
57	2.211379636
58	2.211080347
59	2.210784763
60	2.210445583
61	2.210093905
62	2.209918169
63	2.209658263
64	2.209475044
65	2.209267532
66	2.209110099
67	2.208878597
68	2.208596813
69	2.20849173
70	2.208384758
71	2.208175008
72	2.207851304
73	2.207662668
74	2.207478912
75	2.207163274
76	2.206864437
77	2.206738358
78	2.206609024
79	2.206491099
80	2.206273727
81	2.206196277
82	2.206081496
83	2.205733032
84	2.205399665
85	2.205135674
86	2.204916688
87	2.204730794
88	2.204621863
89	2.204541099
90	2.204299392
91	2.204157823
92	2.20401539
93	2.203897477
94	2.203737813
95	2.20357511
96	2.203333199
97	2.203110201
98	2.202964521
99	2.202887299
100	2.202787077
101	2.202655286
102	2.202550507
103	2.202449329
104	2.202219292
105	2.202123453
106	2.201954901
107	2.201768083
108	2.201539177
109	2.201423821
110	2.201330372
111	2.201188299
112	2.201092204
113	2.200902101
114	2.200794696
115	2.200675526
116	2.20053688
117	2.200384664
118	2.200125919
119	2.199924285
120	2.199742235
121	2.199648962
122	2.199552644
123	2.199356018
124	2.199281768
125	2.199168591
126	2.199083956
127	2.198858802
128	2.19869005
129	2.198604277
130	2.198535419
131	2.19848741
132	2.198290795
133	2.198149873
134	2.197999755
135	2.197833856
136	2.197708225
137	2.197542159
138	2.197427366
139	2.197343826
140	2.197271598
141	2.197184522
142	2.197043164
143	2.196819888
144	2.196660175
145	2.196573379
146	2.196485845
147	2.196313181
148	2.196157994
149	2.196008141
150	2.195939983
151	2.195772854
152	2.195556827
153	2.19534689
154	2.195252009
155	2.195122913
156	2.1950671
157	2.194890076
158	2.194746303
159	2.194605182
160	2.194480421
161	2.19427484
162	2.194125592
163	2.193984121
164	2.19389561
165	2.193802563
166	2.193676571
167	2.193610269
168	2.193468854
169	2.193324897
170	2.193233342
171	2.193114253
172	2.192983318
173	2.192894978
174	2.19276874
175	2.192659323
176	2.192577842
177	2.192454588
178	2.192264617
179	2.192172575
180	2.192054645
181	2.191925234
182	2.191888378
183	2.19183362
184	2.191779764
185	2.191695901
186	2.191568647
187	2.191473438
188	2.191348166
189	2.191228189
190	2.191078299
191	2.191004517
192	2.190937412
193	2.190857472
194	2.190769104
195	2.190672357
196	2.190511907
197	2.190388984
198	2.190214375
199	2.190124374
200	2.190022443
201	2.189900141
202	2.189754089
203	2.189667965
204	2.189607427
205	2.189491993
206	2.189431237
207	2.189330618
208	2.189233125
209	2.189133148
210	2.189066654
211	2.188977112
212	2.188924372
213	2.188863027
214	2.188748572
215	2.188697387
216	2.188534188
217	2.188456401
218	2.188393506
219	2.188314481
220	2.188191915
221	2.188026745
222	2.18791259
223	2.187779698
224	2.187695778
225	2.187574764
226	2.187460605
227	2.187421889
228	2.187355341
229	2.187296625
230	2.18720142
231	2.187111833
232	2.187020091
233	2.186954657
234	2.186852423
235	2.186789915
236	2.18668473
237	2.186612357
238	2.186491764
239	2.18642576
240	2.186342353
241	2.18627875
242	2.186124309
243	2.185993991
244	2.185900484
245	2.185819108
246	2.185755519
247	2.185683004
248	2.185556699
249	2.18538373
250	2.18530897
251	2.185275434
252	2.185250123
253	2.185163467
254	2.185059619
255	2.184974082
256	2.184881739
257	2.184789718
258	2.184740503
259	2.184672604
260	2.184539364
261	2.184445421
262	2.184338959
263	2.184299345
264	2.184242773
265	2.184186488
266	2.184117104
267	2.184054175
268	2.18396342
269	2.183882912
270	2.183837249
271	2.183774287
272	2.183720887
273	2.183583744
274	2.183467014
275	2.183352793
276	2.18323079
277	2.183155159
278	2.183083318
279	2.182990388
280	2.182951939
281	2.182902332
282	2.18280468
283	2.182692843
284	2.182649298
285	2.182613321
286	2.182545055
287	2.182445382
288	2.182380854
289	2.182307425
290	2.182229988
291	2.182155028
292	2.182101696
293	2.182059626
294	2.181981935
295	2.181919378
296	2.181844316
297	2.18180526
298	2.181725995
299	2.181664364
300	2.181565397
301	2.18148902
302	2.181422396
303	2.181343015
304	2.181278429
305	2.181210339
306	2.181125286
307	2.181038546
308	2.180990297
309	2.180881247
310	2.18080816
311	2.180701337
312	2.180611554
313	2.180546701
314	2.180449929
315	2.180371653
316	2.180305253
317	2.180230039
318	2.180141921
319	2.180045181
320	2.179987152
321	2.179919097
322	2.179866389
323	2.179783184
324	2.179722468
325	2.179679263
326	2.179588073
327	2.179533365
328	2.179466604
329	2.179395322
330	2.179308839
331	2.17924484
332	2.179192886
333	2.17910039
334	2.179049919
335	2.178983765
336	2.178954175
337	2.178816382
338	2.178770662
339	2.178672087
340	2.178579908
341	2.178464734
342	2.178411185
343	2.178363566
344	2.178321501
345	2.178284971
346	2.17822675
347	2.178164676
348	2.178117021
349	2.178034347
350	2.177940656
351	2.177854521
352	2.177815625
353	2.177749174
354	2.177659393
355	2.177618447
356	2.177541274
357	2.177484155
358	2.177411436
359	2.177360808
360	2.177329244
361	2.177212579
362	2.177113148
363	2.177067229
364	2.177023682
365	2.176939152
366	2.176893172
367	2.176801252
368	2.176746997
369	2.176662655
370	2.176626765
371	2.176569532
372	2.176521552
373	2.176416222
374	2.176322781
375	2.176270927
376	2.1761955
377	2.176076754
378	2.176023606
379	2.175978615
380	2.17591726
381	2.17587516
382	2.175844279
383	2.175801697
384	2.175732409
385	2.175674438
386	2.175605928
387	2.175532311
388	2.175478512
389	2.175418135
390	2.175329649
391	2.175283621
392	2.175184031
393	2.175116521
394	2.175000515
395	2.174950215
396	2.17490006
397	2.174862784
398	2.17481415
399	2.174776143
400	2.174672876
401	2.174618379
402	2.174598808
403	2.174549848
404	2.174512982
405	2.17445014
406	2.174377243
407	2.174318711
408	2.174241497
409	2.174130814
410	2.174104815
411	2.174018571
412	2.173927078
413	2.17385319
414	2.173790701
415	2.173765458
416	2.173731183
417	2.173676066
418	2.173603181
419	2.173563668
420	2.17351528
421	2.173419132
422	2.173359649
423	2.173321486
424	2.173249822
425	2.17321944
426	2.173156078
427	2.173106023
428	2.173036682
429	2.172976968
430	2.17292707
431	2.172895019
432	2.172864801
433	2.172806149
434	2.172773739
435	2.172695688
436	2.172617362
437	2.172554838
438	2.172532105
439	2.172495259
440	2.172448353
441	2.172389841
442	2.17228886
443	2.172259183
444	2.17220505
445	2.172146135
446	2.172085058
447	2.172040418
448	2.172020272
449	2.171938518
450	2.171891551
451	2.171822262
452	2.171787545
453	2.171713968
454	2.171652473
455	2.171564558
456	2.171512036
457	2.171441945
458	2.171431279
459	2.171360484
460	2.171308748
461	2.17126275
462	2.171223453
463	2.171161017
464	2.171115162
465	2.171060179
466	2.171037251
467	2.171016396
468	2.170980436
469	2.170950207
470	2.170869923
471	2.170799698
472	2.170728776
473	2.170685307
474	2.170628393
475	2.17054152
476	2.170503732
477	2.17046874
478	2.170398814
479	2.170350756
480	2.170286493
481	2.170229495
482	2.170158704
483	2.17006838
484	2.170026234
485	2.169970421
486	2.169933063
487	2.169848636
488	2.169781854
489	2.169725161
490	2.169661042
491	2.169627629
492	2.16958391
493	2.169555783
494	2.169492741
495	2.169446627
496	2.169362383
497	2.16927846
498	2.169247784
499	2.169181376
500	2.169137866
501	2.169112012
502	2.169076821
503	2.169036387
504	2.16899836
505	2.168953473
506	2.168912402
507	2.168847041
508	2.168760631
509	2.168727101
510	2.168675773
511	2.168625806
512	2.16857118
513	2.168528501
514	2.168479161
515	2.168392035
516	2.168308029
517	2.168262381
518	2.168243665
519	2.168192479
520	2.168092954
521	2.16803125
522	2.168005919
523	2.167949556
524	2.167888014
525	2.167875547
526	2.167846703
527	2.167810308
528	2.167748887
529	2.167704654
530	2.167626019
531	2.167600777
532	2.167559728
533	2.167504844
534	2.167434383
535	2.167407667
536	2.167370419
537	2.167338471
538	2.167311517
539	2.167230687
540	2.16719008
541	2.167099396
542	2.167042638
543	2.166973708
544	2.166922865
545	2.166902864
546	2.166860923
547	2.166801674
548	2.166746593
549	2.16666508
550	2.166626037
551	2.166539098
552	2.166512507
553	2.166483871
554	2.166437163
555	2.166377681
556	2.166318209
557	2.166273442
558	2.16624292
559	2.166201996
