iter	Passed	Remaining
0	102	87309
1	133	57039
2	161	45831
3	188	40116
4	216	36776
5	247	35045
6	278	33645
7	308	32623
8	338	31792
9	370	31264
10	399	30650
11	426	29949
12	455	29471
13	481	28915
14	508	28422
15	534	28011
16	560	27587
17	587	27301
18	614	27006
19	640	26720
20	668	26521
21	695	26307
22	720	26026
23	747	25854
24	773	25654
25	797	25410
26	823	25216
27	849	25069
28	875	24893
29	901	24774
30	927	24617
31	953	24504
32	981	24423
33	1010	24360
34	1037	24267
35	1060	24099
36	1085	23979
37	1111	23858
38	1136	23741
39	1162	23656
40	1188	23573
41	1214	23472
42	1240	23392
43	1266	23321
44	1291	23214
45	1318	23164
46	1344	23077
47	1371	23022
48	1398	22970
49	1423	22892
50	1450	22830
51	1474	22743
52	1501	22691
53	1523	22572
54	1549	22506
55	1575	22444
56	1599	22360
57	1625	22310
58	1651	22248
59	1678	22218
60	1703	22147
61	1728	22079
62	1753	22020
63	1779	21965
64	1803	21887
65	1827	21816
66	1851	21747
67	1875	21673
68	1901	21628
69	1925	21564
70	1948	21485
71	1970	21404
72	1995	21344
73	2020	21300
74	2046	21254
75	2073	21228
76	2101	21205
77	2124	21139
78	2147	21064
79	2169	20988
80	2195	20951
81	2220	20904
82	2242	20834
83	2268	20791
84	2293	20753
85	2318	20708
86	2345	20675
87	2369	20621
88	2394	20583
89	2419	20536
90	2443	20484
91	2468	20444
92	2491	20383
93	2514	20329
94	2538	20282
95	2565	20259
96	2590	20213
97	2615	20173
98	2640	20135
99	2661	20065
100	2683	20008
101	2706	19956
102	2733	19930
103	2762	19921
104	2796	19950
105	2822	19916
106	2851	19906
107	2878	19880
108	2903	19847
109	2929	19812
110	2952	19766
111	2975	19712
112	2998	19662
113	3026	19644
114	3049	19598
115	3077	19577
116	3105	19559
117	3129	19520
118	3156	19497
119	3182	19467
120	3206	19427
121	3227	19367
122	3251	19324
123	3277	19295
124	3303	19268
125	3328	19231
126	3350	19180
127	3378	19160
128	3405	19140
129	3430	19104
130	3452	19053
131	3470	18982
132	3497	18962
133	3521	18919
134	3545	18880
135	3570	18847
136	3594	18812
137	3620	18783
138	3644	18745
139	3669	18715
140	3693	18675
141	3718	18644
142	3742	18605
143	3769	18586
144	3792	18542
145	3817	18513
146	3842	18480
147	3869	18458
148	3895	18429
149	3921	18403
150	3944	18364
151	3970	18339
152	3999	18326
153	4027	18308
154	4049	18263
155	4072	18223
156	4093	18173
157	4117	18137
158	4143	18111
159	4167	18075
160	4192	18045
161	4218	18019
162	4245	17996
163	4271	17971
164	4296	17939
165	4318	17896
166	4343	17868
167	4366	17831
168	4392	17805
169	4421	17788
170	4445	17756
171	4475	17745
172	4500	17714
173	4526	17690
174	4552	17663
175	4578	17638
176	4602	17604
177	4627	17574
178	4657	17564
179	4683	17536
180	4709	17512
181	4737	17491
182	4761	17458
183	4785	17424
184	4809	17390
185	4834	17363
186	4860	17337
187	4884	17305
188	4910	17275
189	4936	17250
190	4963	17227
191	4989	17202
192	5011	17164
193	5036	17133
194	5063	17111
195	5091	17092
196	5115	17060
197	5142	17036
198	5172	17025
199	5197	16996
200	5222	16965
201	5249	16942
202	5275	16917
203	5298	16883
204	5321	16848
205	5347	16822
206	5370	16787
207	5397	16762
208	5420	16728
209	5450	16713
210	5476	16688
211	5501	16660
212	5524	16623
213	5547	16589
214	5575	16571
215	5598	16536
216	5625	16513
217	5653	16492
218	5675	16455
219	5699	16425
220	5725	16400
221	5754	16382
222	5779	16354
223	5804	16326
224	5829	16295
225	5855	16270
226	5882	16247
227	5907	16219
228	5931	16189
229	5954	16155
230	5981	16131
231	6003	16096
232	6027	16065
233	6055	16043
234	6081	16019
235	6104	15984
236	6128	15954
237	6150	15919
238	6175	15889
239	6201	15864
240	6229	15844
241	6252	15812
242	6279	15790
243	6304	15760
244	6328	15730
245	6351	15697
246	6374	15665
247	6398	15635
248	6424	15610
249	6453	15590
250	6478	15563
251	6502	15533
252	6524	15499
253	6549	15471
254	6572	15439
255	6597	15410
256	6622	15384
257	6646	15354
258	6669	15322
259	6693	15291
260	6722	15273
261	6746	15243
262	6774	15224
263	6796	15190
264	6820	15158
265	6846	15133
266	6871	15106
267	6893	15073
268	6919	15048
269	6946	15025
270	6971	14996
271	6992	14962
272	7016	14932
273	7043	14910
274	7069	14884
275	7095	14858
276	7119	14830
277	7143	14800
278	7166	14770
279	7195	14751
280	7222	14727
281	7250	14706
282	7279	14687
283	7310	14673
284	7335	14644
285	7357	14611
286	7381	14583
287	7406	14555
288	7433	14531
289	7457	14504
290	7484	14480
291	7510	14454
292	7535	14427
293	7558	14396
294	7582	14367
295	7609	14345
296	7638	14324
297	7663	14299
298	7687	14269
299	7715	14247
300	7742	14224
301	7766	14195
302	7788	14162
303	7813	14137
304	7838	14108
305	7862	14081
306	7888	14056
307	7912	14027
308	7936	13997
309	7961	13970
310	7986	13944
311	8013	13920
312	8044	13905
313	8071	13880
314	8103	13866
315	8137	13854
316	8169	13838
317	8198	13818
318	8227	13799
319	8258	13781
320	8284	13755
321	8316	13740
322	8342	13715
323	8368	13689
324	8396	13667
325	8423	13642
326	8451	13620
327	8476	13593
328	8501	13566
329	8528	13541
330	8554	13517
331	8578	13488
332	8605	13463
333	8631	13438
334	8655	13409
335	8681	13383
336	8704	13353
337	8732	13330
338	8754	13299
339	8782	13276
340	8809	13252
341	8833	13224
342	8856	13194
343	8881	13167
344	8904	13137
345	8928	13108
346	8949	13076
347	8976	13052
348	8998	13020
349	9022	12992
350	9046	12963
351	9072	12939
352	9096	12910
353	9122	12884
354	9147	12857
355	9169	12826
356	9197	12803
357	9224	12780
358	9256	12762
359	9288	12745
360	9317	12724
361	9352	12710
362	9379	12687
363	9404	12660
364	9431	12635
365	9462	12616
366	9491	12594
367	9520	12573
368	9544	12545
369	9574	12524
370	9602	12501
371	9632	12480
372	9665	12463
373	9700	12449
374	9730	12429
375	9757	12405
376	9786	12382
377	9815	12360
378	9841	12334
379	9872	12314
380	9899	12289
381	9924	12263
382	9948	12234
383	9974	12207
384	10004	12186
385	10035	12167
386	10071	12153
387	10100	12130
388	10134	12114
389	10159	12087
390	10189	12065
391	10216	12041
392	10247	12020
393	10277	11998
394	10310	11980
395	10335	11954
396	10368	11935
397	10394	11909
398	10422	11884
399	10450	11861
400	10478	11836
401	10502	11809
402	10525	11778
403	10551	11753
404	10575	11724
405	10603	11700
406	10631	11676
407	10657	11650
408	10686	11627
409	10715	11604
410	10738	11574
411	10765	11549
412	10792	11524
413	10821	11500
414	10848	11476
415	10874	11449
416	10901	11424
417	10924	11395
418	10948	11366
419	10972	11338
420	11001	11315
421	11030	11291
422	11059	11268
423	11083	11240
424	11108	11212
425	11131	11183
426	11157	11157
427	11181	11129
428	11207	11103
429	11234	11077
430	11262	11053
431	11287	11026
432	11312	10998
433	11339	10973
434	11364	10946
435	11391	10921
436	11417	10895
437	11444	10869
438	11464	10838
439	11487	10808
440	11509	10778
441	11531	10749
442	11559	10724
443	11581	10694
444	11608	10668
445	11632	10641
446	11658	10615
447	11685	10590
448	11709	10561
449	11735	10535
450	11761	10510
451	11786	10482
452	11810	10455
453	11838	10430
454	11867	10407
455	11896	10383
456	11922	10356
457	11952	10334
458	11978	10308
459	12007	10284
460	12030	10256
461	12054	10227
462	12079	10200
463	12107	10176
464	12139	10155
465	12166	10130
466	12189	10101
467	12213	10073
468	12238	10046
469	12263	10019
470	12291	9995
471	12317	9968
472	12347	9945
473	12376	9922
474	12402	9896
475	12433	9873
476	12460	9848
477	12487	9822
478	12514	9797
479	12538	9769
480	12562	9741
481	12587	9714
482	12615	9689
483	12647	9668
484	12673	9642
485	12702	9618
486	12728	9591
487	12757	9568
488	12787	9545
